Crop,Disease,Temperature (°C),Humidity (%),Color,Impact
Peach,Peach leaf curl,17-42,47-70,Red,Severe
Rice,Barley scald,25-25,43-100,Red,Severe
Soybean,Coffee leaf rust,39-20,82-82,Black,Mild
Sunflower,Maize smut,38-24,75-75,Red,Mild
Rice,Early blight,40-35,40-82,Orange,Severe
Grapevine,Sunflower rust,29-30,54-99,Brown,Mild
Strawberry,Early blight,38-45,78-100,Blue,Mild
Peach,Peach leaf curl,14-36,58-91,Red,Moderate
Cotton,Wheat blast,22-25,84-70,Red,Severe
Cotton,Sugarcane smut,19-35,64-99,Blue,Severe
Barley,Peanut smut,31-42,65-63,Yellow,Severe
Wheat,Corn rust,39-33,52-91,Brown,Mild
Apple,Peach leaf curl,28-25,66-74,Black,Moderate
Potato,Maize smut,39-27,61-90,Blue,Mild
Corn,Early blight,35-34,73-86,Orange,Mild
Strawberry,Soybean rust,12-35,63-77,Green,Severe
Grapevine,Soybean rust,36-33,57-66,Brown,Mild
Cotton,Powdery mildew,19-16,65-82,Red,Mild
Maize,Wheat blast,20-29,58-87,Blue,Mild
Cocoa,Soybean rust,17-18,47-74,Yellow,Severe
Coffee,Apple scab,38-30,45-96,Yellow,Moderate
Tomato,Apple scab,35-35,64-71,Green,Severe
Corn,Corn rust,38-32,80-67,Yellow,Mild
Wheat,Strawberry leaf anthracnose,38-23,70-66,Red,Severe
Sunflower,Cotton wilt,19-25,84-63,Yellow,Mild
Sugarcane,Potato late blight,38-17,67-67,Orange,Mild
Soybean,Sunflower rust,14-15,88-94,Orange,Severe
Cotton,Sugarcane smut,39-26,74-76,Red,Severe
Maize,Soybean rust,33-33,53-94,Brown,Severe
Cotton,Corn rust,36-30,70-65,Green,Severe
Soybean,Coffee leaf rust,10-17,71-83,Green,Severe
Tomato,Soybean rust,10-30,44-84,Brown,Moderate
Rice,Early blight,30-18,57-96,White,Moderate
Oats,Early blight,14-18,49-69,Yellow,Severe
Peach,Cocoa black pod,18-17,82-70,Orange,Moderate
Peanut,Maize smut,19-18,59-84,Green,Moderate
Sugarcane,Wheat blast,40-39,43-89,Orange,Severe
Maize,Peach leaf curl,31-26,61-92,Blue,Moderate
Oats,Apple scab,25-21,45-69,White,Moderate
Peach,Sugarcane smut,14-44,51-66,Brown,Mild
Sugarcane,Potato late blight,27-35,41-92,Yellow,Mild
Potato,Cocoa black pod,21-31,61-68,Black,Mild
Corn,Coffee leaf rust,40-20,45-73,Brown,Moderate
Coffee,Bacterial leaf blight,10-19,62-72,Red,Moderate
Peach,Coffee leaf rust,21-26,59-90,Blue,Mild
Coffee,Early blight,37-34,78-73,Brown,Moderate
Cocoa,Potato late blight,36-27,45-82,Orange,Mild
Wheat,Maize smut,22-16,83-71,Orange,Moderate
Strawberry,Peach leaf curl,29-24,57-61,Red,Severe
Rice,Sugarcane smut,26-40,90-97,Green,Moderate
Potato,Peach leaf curl,16-27,80-60,Black,Moderate
Rice,Sunflower rust,11-17,67-76,Blue,Severe
Corn,Soybean rust,12-16,85-75,Black,Mild
Tomato,Sunflower rust,25-40,74-87,Black,Mild
Corn,Apple scab,29-28,54-97,Brown,Moderate
Potato,Peach leaf curl,37-44,89-76,White,Mild
Apple,Soybean rust,37-16,62-90,Black,Moderate
Apple,Soybean rust,22-16,66-70,Red,Severe
Wheat,Cotton wilt,19-38,88-67,Brown,Moderate
Corn,Peach leaf curl,33-34,50-67,Green,Moderate
Barley,Maize smut,37-36,82-84,Yellow,Mild
Wheat,Early blight,30-19,68-66,Green,Mild
Oats,Wheat blast,20-32,40-95,Orange,Moderate
Cotton,Powdery mildew,27-30,61-74,Yellow,Mild
Barley,Bacterial leaf blight,23-45,73-62,Green,Moderate
Cocoa,Bacterial leaf blight,36-22,73-76,Green,Mild
Oats,Apple scab,32-21,77-82,Brown,Severe
Maize,Sugarcane smut,22-15,56-77,Red,Mild
Soybean,Powdery mildew,27-28,74-85,Red,Mild
Rice,Soybean rust,14-22,68-69,Brown,Moderate
Wheat,Peach leaf curl,25-35,89-82,Blue,Moderate
Soybean,Wheat blast,16-37,78-73,Yellow,Severe
Sugarcane,Cotton wilt,15-26,81-93,Green,Moderate
Wheat,Cocoa black pod,23-31,88-89,Blue,Mild
Oats,Cotton wilt,37-30,49-68,Yellow,Mild
Rice,Maize smut,40-26,80-75,Green,Mild
Grapevine,Powdery mildew,29-25,68-94,Orange,Severe
Tomato,Soybean rust,37-43,75-86,Orange,Severe
Apple,Maize smut,22-24,71-60,White,Mild
Peanut,Cotton wilt,14-30,48-84,Brown,Mild
Peanut,Peanut smut,11-39,51-85,Brown,Mild
Potato,Corn rust,14-25,62-93,Red,Moderate
Potato,Barley scald,16-15,89-82,Black,Mild
Grapevine,Early blight,33-15,87-64,Brown,Mild
Rice,Strawberry leaf anthracnose,32-24,81-61,Black,Severe
Potato,Sunflower rust,23-29,68-93,Blue,Severe
Grapevine,Coffee leaf rust,30-39,46-77,Blue,Moderate
Wheat,Barley scald,12-22,75-67,Black,Mild
Apple,Cotton wilt,36-36,61-96,Brown,Mild
Apple,Powdery mildew,20-38,84-69,Yellow,Severe
Peanut,Potato late blight,30-39,76-75,Green,Mild
Barley,Apple scab,18-23,68-99,Brown,Moderate
Wheat,Soybean rust,30-23,46-73,Orange,Moderate
Sugarcane,Soybean rust,25-36,61-99,Yellow,Severe
Cocoa,Barley scald,32-21,68-88,White,Severe
Peanut,Corn rust,38-28,68-99,Red,Mild
Peach,Sunflower rust,18-20,82-78,Red,Severe
Maize,Peanut smut,32-20,81-83,Green,Moderate
Cotton,Bacterial leaf blight,21-17,66-94,White,Moderate
Maize,Bacterial leaf blight,27-32,90-64,Green,Moderate
Grapevine,Peach leaf curl,29-26,82-70,White,Mild
